,0
0,2
1,7
2,24
3,56
4,24
5,60
6,17
7,47
8,2
9,7
10,28
11,23
12,5
13,3
14,1
15,3
16,9
17,2
18,19
19,27
20,10
21,9
22,1
23,2
24,63
25,22
26,273
27,104
28,90
29,107
30,83
31,12
32,13
33,8
34,9
35,15
36,44
37,4
38,1
39,77
40,119
41,298
42,136
43,57
44,142
45,262
46,178
47,180
48,192
49,40
50,198
51,690
52,246
53,2
54,518
55,11
56,23
57,5
58,4
59,3
60,6
61,36
62,3
63,33
64,284
65,245
66,85
67,202
68,189
69,235
70,235
71,162
72,226
73,184
74,696
75,310
76,79
77,232
78,48
79,5
80,298
81,222
82,161
83,248
84,37
85,24
86,170
87,54
88,57
89,40
90,76
91,35
92,2
93,2
94,22
95,28
96,9
97,158
98,3
99,136
100,23
101,16
102,139
103,7
104,17
105,69
106,25
107,106
108,23
109,60
110,24
111,115
112,3
113,94
114,63
115,10
116,6
117,13
118,33
119,9
120,22
121,252
122,9
123,9
124,4
125,20
126,16
127,10
128,15
129,43
130,20
131,16
132,329
133,279
134,40
135,9
136,23
137,38
138,102
139,215
140,9
141,14
142,206
143,5
144,7
145,20
146,186
147,243
148,11
149,62
150,97
151,18
152,13
153,43
154,17
155,84
156,15
157,310
158,392
159,214
160,240
161,201
162,98
163,12
164,3
165,34
166,10
167,4
168,7
169,34
170,329
171,614
172,498
173,202
174,258
175,153
176,207
177,438
178,192
179,249
180,211
181,124
182,14
183,136
184,133
185,8
186,185
187,241
188,185
189,467
190,4
191,305
192,508
193,84
194,103
195,137
196,38
197,23
198,45
199,2
200,7
201,212
202,2
203,161
204,117
205,244
206,38
207,30
208,2
209,1
210,72
211,29
212,16
213,6
214,1
215,5
216,40
217,3
218,4
219,13
220,578
221,290
222,288
223,448
224,8
225,203
226,216
227,23
228,4
229,17
230,10
231,21
232,11
233,24
234,24
235,9
236,13
237,15
238,32
239,9
240,33
241,8
242,18
243,14
244,8
245,6
246,10
247,5
248,18
249,18
250,65
251,20
252,49
253,32
254,7
255,20
256,52
257,50
258,45
259,3
260,12
261,1011
262,1558
263,691
264,1792
265,1452
266,2529
267,2126
268,2200
269,2438
270,1422
271,8
272,6
273,2
274,31
275,24
276,5
277,4
278,11
279,8
280,6
281,3
282,10
283,1
284,19
285,9
286,79
287,3
288,14
289,880
290,247
291,585
292,694
293,1049
294,345
295,251
296,587
297,1113
298,726
299,433
300,18
301,60
302,161
303,321
304,248
305,231
306,608
307,580
308,277
309,343
310,258
311,178
312,794
313,5
314,39
315,13
316,14
317,7
318,3
319,461
320,478
321,162
322,159
323,33
324,101
325,36
326,38
327,122
328,169
329,1
330,7
331,1
332,3
333,6
334,12
335,7
336,1
337,10
338,1
339,19
340,1
341,2
342,9
343,16
344,6
345,8
346,3
347,1
348,12
349,21
350,202
351,9
352,61
353,6
354,13
355,1
356,50
357,227
358,214
359,17
360,66
361,31
362,40
363,101
364,64
365,9
366,8
367,157
368,1
369,4
370,23
371,41
372,12
373,13
374,20
375,22
376,11
377,3
378,8
379,10
380,8
381,4
382,21
383,4
384,11
385,27
386,6
387,12
388,21
389,42
390,18
391,36
392,27
393,29
394,51
395,76
396,70
397,9
398,1
399,6
400,28
401,46
402,23
403,10
404,2
405,62
406,9
407,128
408,2
409,7
410,6
411,43
412,7
413,7
414,345
415,17
416,29
417,11
418,89
419,18
420,1
421,6
422,6
423,58
424,83
425,8
426,15
427,174
428,71
429,5
430,13
431,15
432,12
433,10
434,2
435,52
436,40
437,5
438,4
439,16
440,9
441,4
442,5
443,6
444,5
445,50
446,8
447,25
448,13
449,25
450,26
451,16
452,39
453,13
454,1
455,3
456,5
457,2
458,12
459,14
460,2
461,20
462,3
463,26
464,3
465,1
466,15
467,9
468,7
469,3
470,1
471,90
472,4
473,15
474,7
475,3
476,16
477,253
478,139
479,168
480,6
481,92
482,34
483,6
484,66
485,21
486,115
487,240
488,281
489,305
490,672
491,17
492,209
493,428
494,214
495,208
496,180
497,2050
498,2153
499,1128
500,924
501,2062
502,1058
503,366
504,1153
505,641
506,8
507,2
508,73
509,9
510,177
511,185
512,136
513,455
514,352
515,531
516,398
517,240
518,68
519,12
520,26
521,76
522,8
523,19
524,32
525,50
526,24
527,17
528,13
529,24
530,11
531,10
532,13
533,10
534,144
535,1588
536,1475
537,78
538,2
539,498
540,372
541,659
542,1030
543,328
544,683
545,825
546,977
547,28
548,19
549,9
550,23
551,49
552,12
553,25
554,29
555,46
556,7
557,15
558,18
559,7
560,131
561,143
562,2
563,26
564,21
565,112
566,153
567,74
568,175
569,143
570,18
571,115
572,46
573,174
574,121
575,84
576,133
577,110
578,148
579,120
580,38
581,191
582,201
583,135
584,190
585,116
586,6
587,90
588,173
